,Station location,BiciMAD station,dock_bikes,Place of interest,Place address,Type of place,distance
295746,Calle Ortega y Gasset nº 87,Ortega y Gasset 87,16,Antigua Fuente de las Delicias, ,Monumentos de la ciudad de Madrid,243.18744007445744
59203,Calle Carretas nº 8,Carretas,0,Antigua Iglesia y Hospital del Buen Suceso, ,Monumentos de la ciudad de Madrid,68.21879846830528
1860,Puerta del Sol nº 1,Puerta del Sol B,22,Antigua pastelería del Pozo,C Pozo 8,Monumentos de la ciudad de Madrid,125.78999252315904
73541,Calle Atocha nº 54,Antón Martín,13,"Antonia Mercé, la Argentina",C Ave María 8,Monumentos de la ciudad de Madrid,151.47202898322016
338759,Calle Alejandro González nº 1,Alcalá-Ventas,9,Antonio Bienvenida,C Alcalá 231,Monumentos de la ciudad de Madrid,183.3656747031906
53832,Calle Pavía nº 6,San Quintín,6,Antonio Cánovas del Castillo,Pza Marina Española ,Monumentos de la ciudad de Madrid,191.60714775714504
469578,Avenida Complutense nº 23,Facultad Derecho,5,Antonio Lleó de la Viña,PARQUE CASA DE CAMPO ,Monumentos de la ciudad de Madrid,3660.5727725438874
431947,Calle Francos Rodríguez nº 62,Francos Rodríguez,2,Antonio Machado,C Antonio Machado 55,Monumentos de la ciudad de Madrid,1846.9062218576719
388941,Calle Gutierre de Cetina nº 77,Gutierre de Cetina,18,Antonio Machado,CALLE SAN ROMAN DEL VALLE 8,Monumentos de la ciudad de Madrid,2391.189670234746
222284,Calle Santa Engracia nº 14,Santa Engracia 14,9,Antonio Machado,CALLE GENERAL ARRANDO 4,Monumentos de la ciudad de Madrid,270.19918479397114
114766,Calle Antonio Maura nº 15,Antonio Maura,9,Antonio Maura,C Antonio Maura 18,Monumentos de la ciudad de Madrid,51.884951709898075
211535,Calle Princesa nº 5,Plaza de España B,0,Antonio Mingote,Pza Cristino Martos 5,Monumentos de la ciudad de Madrid,140.03400682674592
96848,Calle Barceló nº 7,Barceló,18,Antonio Paso Cano,C Apodaca 9,Monumentos de la ciudad de Madrid,85.34377700804093
69969,Plaza de la Cebada nº 16 ,Plaza de la Cebada,25,Antonio Zozaya,Pza General Vara del Rey 14,Monumentos de la ciudad de Madrid,214.07437226633226
399689,Calle Hacienda de Pavones nº 342,Pavones,8,Antonio de Andrés Martínez,PLAZA DON ANTONIO DE ANDRES 1,Monumentos de la ciudad de Madrid,3191.633397035675
464211,Avenida de la Complutense (Metro Ciudad Universitaria),Ciudad Universitaria 1,0,Antorcha,BARRIO CIUDAD UNIVERSITARIA ,Monumentos de la ciudad de Madrid,527.3400837972472
405074,Calle Caramuel nº 51,Caramuel,14,Antorcha,Avda General Fanjul 14,Monumentos de la ciudad de Madrid,5606.67679406123
