,Station location,BiciMAD station,dock_bikes,Place of interest,Place address,Type of place,distance
469857,Avenida Complutense nº 23,Facultad Derecho,5,Ermita de Nuestra Señora del Buen Camino-III,Pº Ermita ,Monumentos de la ciudad de Madrid,5683.1813939969825
432226,Calle Francos Rodríguez nº 62,Francos Rodríguez,2,Ernestina M. de Villena,AVENIDA CARDENAL HERRERA ORIA 242,Monumentos de la ciudad de Madrid,3065.7150921623697
270947,Calle Santa Engracia nº 127,Santa Engracia 127,6,Escosura,CALLE RIOS ROSAS 21,Monumentos de la ciudad de Madrid,153.2065017407112
392804,Calle Pedro Rico nº 4,Pedro Rico,13,Escudo Casa Parroquial San Miguel Arcángel,CALLE ISLAS BERMUDAS 28,Monumentos de la ciudad de Madrid,1448.8325940958546
469861,Avenida Complutense nº 23,Facultad Derecho,5,Escudo de España,Avda Cardenal Herrera Oria 378,Monumentos de la ciudad de Madrid,3268.629930409508
398183,Calle Arroyo de las Pilillas nº 6,Plaza del Encuentro,12,Escudo de Madrid,Pza Encuentro ,Monumentos de la ciudad de Madrid,86.01901137214526
301416,Calle Segovia nº 26,Segovia 26,8,Escudo de Madrid en mosaico,C Segovia ,Monumentos de la ciudad de Madrid,46.774346565215154
301417,Calle Segovia nº 26,Segovia 26,8,Escudo de Madrid en piedra calle Segovia,C Segovia 21,Monumentos de la ciudad de Madrid,27.131868187973954
226150,Paseo de la Florida nº 8,Paseo de la Florida,11,Escudo de la Villa,Gta Puerta del Río (Parque de la Casa de Campo) ,Monumentos de la ciudad de Madrid,341.5853542522799
399978,Calle Hacienda de Pavones nº 342,Pavones,8,Escudo heráldico,PLAZA DON ANTONIO DE ANDRES 10,Monumentos de la ciudad de Madrid,3293.01855347993
460908,Calle Beatriz de Bobadilla frente al nº 2,Reina Victoria,1,Escuela T.S. Ingenieros de Montes II,CALLE RAMIRO DE MAEZTU 2,Monumentos de la ciudad de Madrid,487.76512701918335
460909,Calle Beatriz de Bobadilla frente al nº 2,Reina Victoria,1,Escuela T.S. Ingenieros de Montes III,CALLE RAMIRO DE MAEZTU 2,Monumentos de la ciudad de Madrid,487.76512701918335
115051,Calle Antonio Maura nº 15,Antonio Maura,9,Escuela de Estudios Superiores del Magisterio,C Montalbán 12,Monumentos de la ciudad de Madrid,132.42232072799942
416117,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Escultura AENA,C Arturo Soria 109,Monumentos de la ciudad de Madrid,884.9673563587895
240502,Calle Sor Ángela de la Cruz nº 2,Sor Ángela de la Cruz,13,Escultura Caja Laboral,PASEO CASTELLANA 167,Monumentos de la ciudad de Madrid,281.3516834161292
389252,Calle Gutierre de Cetina nº 77,Gutierre de Cetina,18,Escultura La Vivienda,CALLE JOSE RAMON VIZCAINO 5,Monumentos de la ciudad de Madrid,2962.0594614337106
240521,Calle Sor Ángela de la Cruz nº 2,Sor Ángela de la Cruz,13,Escultura Paraboloide Cuzco,Pº Castellana 147,Monumentos de la ciudad de Madrid,83.29270956112028
202890,Paseo de Moret nº 11,Paseo de Moret,13,Escultura Puerta de Madrid, ,Monumentos de la ciudad de Madrid,233.70248890575556
400011,Calle Hacienda de Pavones nº 342,Pavones,8,Escultura Totémica I,PARQUE LINEAL DE PALOMERAS ,Monumentos de la ciudad de Madrid,916.8851240281366
400012,Calle Hacienda de Pavones nº 342,Pavones,8,Escultura Totémica II, ,Monumentos de la ciudad de Madrid,1331.4608890270856
392814,Calle Pedro Rico nº 4,Pedro Rico,13,Escultura a la  Universidad en Cantoblanco,CIUDAD UNIVERSITARIA AUTONOMA ,Monumentos de la ciudad de Madrid,7741.094541848897
469871,Avenida Complutense nº 23,Facultad Derecho,5,Escultura a la maternidad Clínica Puerta de Hierro,CALLE SAN MARTIN DE PORRES 6,Monumentos de la ciudad de Madrid,1902.7745810121692
416112,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Escultura abstracta del Edificio BBVA,Vía Los Poblados s/n,Monumentos de la ciudad de Madrid,3810.808734769725
394609,Calle Camino de los Vinateros nº 28,Camino Vinateros,3,Escultura abstracta en el camino Vinateros,Cmno Vinateros 51,Monumentos de la ciudad de Madrid,419.271217259645
240498,Calle Sor Ángela de la Cruz nº 2,Sor Ángela de la Cruz,13,Escultura abstracta en la calle Capitán Haya,CALLE CAPITAN HAYA 41,Monumentos de la ciudad de Madrid,135.658932781666
416115,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Escultura abstracta en la calle Pedroñeras,C Pedroñeras 31,Monumentos de la ciudad de Madrid,3282.5326334075367
399988,Calle Hacienda de Pavones nº 342,Pavones,8,Escultura abstracta en la calle Tacoma,C Tacoma 3,Monumentos de la ciudad de Madrid,822.9121774576395
385655,Calle Antonio López nº 129,Glorieta de Cádiz,7,Escultura con material de desecho,Avda Eduardo Barreiros 6,Monumentos de la ciudad de Madrid,1888.3461237713466
417912,Calle Derechos Humanos nº 12,Derechos Humanos,9,Escultura de chapa Centro Cultural Islámico,C Salvador de Madariaga 9,Monumentos de la ciudad de Madrid,220.66730276655449
457337,Avenida Pío XII nº 3,Pío XII,11,Escultura de hormigón Instituto Eduardo Torroja,C Serrano Galvache 4,Monumentos de la ciudad de Madrid,1476.5579048938807
54138,Calle Pavía nº 6,San Quintín,6,Escultura ecuestre alegórica I Jardines de Sabatini, ,Monumentos de la ciudad de Madrid,339.18368899293546
54139,Calle Pavía nº 6,San Quintín,6,Escultura ecuestre alegórica II Jardines de Sabatini, ,Monumentos de la ciudad de Madrid,280.0397631844934
385660,Calle Antonio López nº 129,Glorieta de Cádiz,7,Escultura en chapa metálica en la calle San Jenaro,C San Jenaro ,Monumentos de la ciudad de Madrid,4746.288351432304
48765,Calle Jesús nº 1,Huertas,10,Escultura en el Consejo Económico y Social,C Huertas 73,Monumentos de la ciudad de Madrid,62.901575140164994
469890,Avenida Complutense nº 23,Facultad Derecho,5,Escultura en la Urbanización Los Robles,C Gavilanes 4,Monumentos de la ciudad de Madrid,3093.726696319367
383870,Glorieta Marqués de Vadillo nº 9,Marqués de Vadillo,12,Escultura en la calle Belzunegui,C Belzunegui ,Monumentos de la ciudad de Madrid,3638.3187635445283
408959,Camino de Valderribas nº 94,Sierra Toledana,10,Escultura en la calle Risco de Peloche,C Risco de Peloche 14,Monumentos de la ciudad de Madrid,840.154783663709
457344,Avenida Pío XII nº 3,Pío XII,11,Escultura en la plaza Presidente Cárdenas,PLAZA PRESIDENTE CARDENAS 1,Monumentos de la ciudad de Madrid,403.5701715695962
416129,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Escultura en la plaza Santos de la Humosa,Plaza Santos de la Humosa ,Monumentos de la ciudad de Madrid,3251.477796039189
326531,Calle Retama nº 5,Méndez Álvaro,8,Escultura geométrica I. E. S. Arcipreste de Hita,Rda Sur 6,Monumentos de la ciudad de Madrid,1995.2020591477362
240517,Calle Sor Ángela de la Cruz nº 2,Sor Ángela de la Cruz,13,Escultura modular inoxidable en la calle Orense,CALLE ORENSE 58,Monumentos de la ciudad de Madrid,288.50894971314926
385670,Calle Antonio López nº 129,Glorieta de Cádiz,7,Escultura monolítica I Inst. Prof. de Sordomudos Ponce de León,Avda Eduardo Barreiros 6,Monumentos de la ciudad de Madrid,1909.7771250777291
385671,Calle Antonio López nº 129,Glorieta de Cádiz,7,Escultura monolítica II Inst. Prof. de Sordomudos Ponce de León,Avda Eduardo Barreiros 6,Monumentos de la ciudad de Madrid,1908.7669799734704
400008,Calle Hacienda de Pavones nº 342,Pavones,8,Escultura mural metálica I. E. S. Antonio Domínguez Ortiz,C Andaluces 36,Monumentos de la ciudad de Madrid,1300.2574823506402
240525,Calle Sor Ángela de la Cruz nº 2,Sor Ángela de la Cruz,13,Escultura trípode Cuzco,PASEO CASTELLANA 143,Monumentos de la ciudad de Madrid,104.64359176245387
385678,Calle Antonio López nº 129,Glorieta de Cádiz,7,Esculturas emergentes Pradolongo,C Doctor Tolosa Latour ,Monumentos de la ciudad de Madrid,1747.485410602031
364175,Calle José Abascal frente al nº 2,Canal,12,Esculturas gemelas de niños,CALLE SANTISIMA TRINIDAD 37,Monumentos de la ciudad de Madrid,300.1145029090414
168848,Calle Claudio Coello nº 109,Villanueva,10,Esfinges,C Serrano 13,Monumentos de la ciudad de Madrid,187.67622030625483
416145,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Espacio México,PARQUE JUAN CARLOS I 1,Monumentos de la ciudad de Madrid,4453.668958405209
181394,Calle Alcalá nº 95,Velázquez,22,Espartero,C O'Donnell ,Monumentos de la ciudad de Madrid,48.95382578839253
416149,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Estanque Arturo Soria I,C Arturo Soria 36,Monumentos de la ciudad de Madrid,961.1942212736722
416150,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Estanque Arturo Soria II,C Arturo Soria 118,Monumentos de la ciudad de Madrid,462.3711701007554
387479,Calle Condesa de Venadito nº 2,Condesa de Venadito,13,Estanque Arturo Soria III,C Arturo Soria 176,Monumentos de la ciudad de Madrid,1453.3920698422578
297880,Calle Colombia nº 7,Colombia,2,Estanque Arturo Soria IV,C Arturo Soria 176,Monumentos de la ciudad de Madrid,1483.1183154884902
457369,Avenida Pío XII nº 3,Pío XII,11,Estanque Arturo Soria V,C Arturo Soria 276,Monumentos de la ciudad de Madrid,1642.2061247254696
457370,Avenida Pío XII nº 3,Pío XII,11,Estanque Arturo Soria VI,C Arturo Soria 278,Monumentos de la ciudad de Madrid,1662.2055262219628
453787,Calle Rodríguez Jaén nº 40,Chamartín,7,Estanque Arturo Soria VII,C Arturo Soria 308,Monumentos de la ciudad de Madrid,1785.2939171165792
303260,Calle Segovia nº 45,Segovia 45,11,Estanque Atenas,PARQUE ATENAS ,Monumentos de la ciudad de Madrid,163.50278436555152
425132,Calle Sodio nº 1B,Embajadores 191,6,Estanque C. Cultural S. Cristóbal,Pza Pinazo 9,Monumentos de la ciudad de Madrid,5219.984612113913
170653,Calle Alcalá nº 111,Castelló,16,Estanque Central de La Rosaleda,PARQUE RETIRO ,Monumentos de la ciudad de Madrid,120.89348012330754
385696,Calle Antonio López nº 129,Glorieta de Cádiz,7,Estanque Centro de Informática Seg. Social,CALLE DOCTOR TOLOSA LATOUR 7,Monumentos de la ciudad de Madrid,1542.4633962567673
425139,Calle Sodio nº 1B,Embajadores 191,6,Estanque Dehesa Boyal,PARQUE DEHESA BOYAL ,Monumentos de la ciudad de Madrid,4663.5720411323
190394,Calle Serrano nº 34,Colón B,9,Estanque Descubrimiento,Pza Colón ,Monumentos de la ciudad de Madrid,80.52983302643932
466371,Avenida de la Complutense (Metro Ciudad Universitaria),Ciudad Universitaria 2,12,Estanque E. T. Superior de Ingenieros Agrónomos,Avda Puerta de Hierro 4,Monumentos de la ciudad de Madrid,233.49325279965998
400063,Calle Hacienda de Pavones nº 342,Pavones,8,Estanque Ensanche de Vallecas,AVENIDA ENSANCHE DE VALLECAS 1,Monumentos de la ciudad de Madrid,3443.0622664478788
405442,Calle Caramuel nº 51,Caramuel,14,Estanque Eugenia de Montijo, ,Monumentos de la ciudad de Madrid,4120.4362106898925
409032,Camino de Valderribas nº 94,Sierra Toledana,10,Estanque Guillermo Pingarrón,C Guillermo Pingaron 4 y 6,Monumentos de la ciudad de Madrid,2008.6718235714752
416201,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Estanque I Campo de las Naciones,"Avda Capital de España, Madrid ",Monumentos de la ciudad de Madrid,4194.105272750414
416202,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Estanque II Campo de las Naciones,"Avda Capital de España, Madrid ",Monumentos de la ciudad de Madrid,4224.981899076262
416203,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Estanque III Campo de las Naciones,"Avda Capital de España, Madrid ",Monumentos de la ciudad de Madrid,4256.089291111768
391118,Plaza Puerta del Ángel nº 4,Puerta del Ángel,16,Estanque La Masía,CALLE PRINCIPAL DE PROVINCIAS 2,Monumentos de la ciudad de Madrid,285.1669815133276
389341,Calle Gutierre de Cetina nº 77,Gutierre de Cetina,18,Estanque Puerta Logroño, ,Monumentos de la ciudad de Madrid,6196.861706159336
385758,Calle Antonio López nº 129,Glorieta de Cádiz,7,Estanque Rafaela Ybarra,Avda Rafaela Ybarra ,Monumentos de la ciudad de Madrid,1772.1066871483904
204773,Paseo del Pintor Rosales frente al nº 38,Pintor Rosales,12,Estanque Rosaleda,CALLE ROSALEDA 1,Monumentos de la ciudad de Madrid,247.87941281468787
204774,Paseo del Pintor Rosales frente al nº 38,Pintor Rosales,12,Estanque Rosaleda Norte,C Rosaleda ,Monumentos de la ciudad de Madrid,259.38156094904105
204775,Paseo del Pintor Rosales frente al nº 38,Pintor Rosales,12,Estanque Rosaleda Sur,C Rosaleda ,Monumentos de la ciudad de Madrid,250.83758643300263
405482,Calle Caramuel nº 51,Caramuel,14,Estanque Sepúlveda del parque Cuña Verde,Pq Cuña Verde ,Monumentos de la ciudad de Madrid,3329.9194029781897
306926,Calle Toledo nº 181,Pirámides,8,Estanque Toledo-Acacias, ,Monumentos de la ciudad de Madrid,85.6067132525477
432369,Calle Francos Rodríguez nº 62,Francos Rodríguez,2,Estanque Vaguada,AVENIDA BETANZOS 1,Monumentos de la ciudad de Madrid,1742.8255975655013
469907,Avenida Complutense nº 23,Facultad Derecho,5,Estanque alto del jardín de la Quinta del duque del Arco,MONTE EL PARDO ,Monumentos de la ciudad de Madrid,12287.111843858384
416148,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Estanque alto del parque en la Quinta de los Molinos,C Alcalá 527,Monumentos de la ciudad de Madrid,2173.120604678226
54175,Calle Pavía nº 6,San Quintín,6,Estanque central Sabatini, ,Monumentos de la ciudad de Madrid,296.9137459707985
403614,Paseo de la Ermita del Santo nº 48,Ermita Santo,13,Estanque central del parque de San Isidro,PARQUE SAN ISIDRO ,Monumentos de la ciudad de Madrid,738.4455737773101
299681,Paseo de la Habana nº 63,Paseo de la Habana 63,8,Estanque circular Centro Médico 'La Fraternidad',PASEO LA HABANA 83,Monumentos de la ciudad de Madrid,399.87092084798905
265638,Paseo de la Castellana esquina calle Raimundo Fernández Villaverde,Paseo de la Castellana con Raimundo Fernández,12,Estanque circular Nuevos Ministerios,PASEO CASTELLANA 67,Monumentos de la ciudad de Madrid,158.22348156778625
54183,Calle Pavía nº 6,San Quintín,6,Estanque circular Sabatini, ,Monumentos de la ciudad de Madrid,335.2100623066861
122274,Avenida de Menéndez Pelayo nº 63,Puerta del Doce de Octubre,9,Estanque circular de la antigua Casa de Fieras, ,Monumentos de la ciudad de Madrid,135.44764710318717
389283,Calle Gutierre de Cetina nº 77,Gutierre de Cetina,18,Estanque circular de la avenida Cantabria,Avda Cantabria ,Monumentos de la ciudad de Madrid,7292.830213303435
391076,Plaza Puerta del Ángel nº 4,Puerta del Ángel,16,Estanque circular del pabellón de Pontevedra,Pza Puerta del Ángel ,Monumentos de la ciudad de Madrid,336.1330759280022
288933,Paseo de la Castellana nº 42,Castellana 42,8,Estanque circular en el Paseo de la Castellana,Pº Castellana 42,Monumentos de la ciudad de Madrid,31.057487874410352
392872,Calle Pedro Rico nº 4,Pedro Rico,13,Estanque con surtidor del parque Norte,C Arzobispo Morcillo ,Monumentos de la ciudad de Madrid,577.5237184254651
202921,Paseo de Moret nº 11,Paseo de Moret,13,Estanque con surtidor y ría del parque del Oeste,PASEO RUPERTO CHAPI ,Monumentos de la ciudad de Madrid,279.04791663202417
462762,Avenida Juan de Herrera frente a la calle Paul Guinard,INEF,14,Estanque con surtidores CYII,CARRETERA CASTILLA 12,Monumentos de la ciudad de Madrid,1414.568412018365
425131,Calle Sodio nº 1B,Embajadores 191,6,Estanque cuadrado del parque del Manzanares,CALLE EMBAJADORES 320,Monumentos de la ciudad de Madrid,1377.2875422774534
385714,Calle Antonio López nº 129,Glorieta de Cádiz,7,Estanque de Pradolongo,PARQUE PRADOLONGO ,Monumentos de la ciudad de Madrid,990.3409175456692
115117,Calle Antonio Maura nº 15,Antonio Maura,9,Estanque de las Campanillas,Pº Paraguay ,Monumentos de la ciudad de Madrid,395.44605243414856
405422,Calle Caramuel nº 51,Caramuel,14,Estanque de las Cruces,Pq Cruces ,Monumentos de la ciudad de Madrid,5264.8259677885935
389295,Calle Gutierre de Cetina nº 77,Gutierre de Cetina,18,Estanque de las Tencas, ,Monumentos de la ciudad de Madrid,5786.251574535473
389296,Calle Gutierre de Cetina nº 77,Gutierre de Cetina,18,Estanque de los Cisnes, ,Monumentos de la ciudad de Madrid,5827.181662434147
389297,Calle Gutierre de Cetina nº 77,Gutierre de Cetina,18,Estanque de los Patos,PARQUE ALAMEDA DE OSUNA ,Monumentos de la ciudad de Madrid,5797.012283733787
170676,Calle Alcalá nº 111,Castelló,16,Estanque del Bosque de los Ausentes,PARQUE RETIRO ,Monumentos de la ciudad de Madrid,120.89348012330754
122294,Avenida de Menéndez Pelayo nº 63,Puerta del Doce de Octubre,9,Estanque del Palacio de Cristal, ,Monumentos de la ciudad de Madrid,422.59889616533883
405432,Calle Caramuel nº 51,Caramuel,14,Estanque del Parque Zoológico,COMPLEJO ZOOLOGICO DE LA CASA CAMPO ,Monumentos de la ciudad de Madrid,3673.6864570459534
469945,Avenida Complutense nº 23,Facultad Derecho,5,Estanque del Repartidor,PARQUE CASA DE CAMPO ,Monumentos de la ciudad de Madrid,3660.5727725438874
129461,Avenida de Menéndez Pelayo nº 73,Puerta del Pacífico ,21,Estanque del jardín de Vivaces, ,Monumentos de la ciudad de Madrid,202.09210268586116
357047,Avenida de Concha Espina nº 34,Parque Berlín,7,Estanque del parque de Berlín,PLAZA VIRGEN GUADALUPANA ,Monumentos de la ciudad de Madrid,390.5089042059049
131259,Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas,Menéndez Pelayo,3,Estanque e isla ovalada del Parque del Retiro, ,Monumentos de la ciudad de Madrid,534.9963252306353
389309,Calle Gutierre de Cetina nº 77,Gutierre de Cetina,18,Estanque elíptico IVECO-Pegaso,Avda Aragón 402,Monumentos de la ciudad de Madrid,10309.214411942197
389308,Calle Gutierre de Cetina nº 77,Gutierre de Cetina,18,Estanque elíptico de la Quinta de los Molinos,CALLE ALCALA 527,Monumentos de la ciudad de Madrid,1992.918864272834
197566,Paseo de Moret nº 2,Moncloa,13,Estanque en la avenida Reyes Católicos,Avda Reyes Católicos 6,Monumentos de la ciudad de Madrid,367.27733152087137
416192,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Estanque escalonado Pinar del Rey,C Macuaje ,Monumentos de la ciudad de Madrid,3375.303699772625
403649,Paseo de la Ermita del Santo nº 48,Ermita Santo,13,Estanque este del parque de San Isidro,PARQUE SAN ISIDRO ,Monumentos de la ciudad de Madrid,738.4455737773101
181444,Calle Alcalá nº 95,Velázquez,22,Estanque grande del Retiro,Pº Estanque (Parque del Retiro) ,Monumentos de la ciudad de Madrid,448.58089997132447
409029,Camino de Valderribas nº 94,Sierra Toledana,10,Estanque grande parque de Azorín, ,Monumentos de la ciudad de Madrid,1211.5540016931539
326598,Calle Retama nº 5,Méndez Álvaro,8,Estanque grande parque de Entrevías,PARQUE ENTREVIAS ,Monumentos de la ciudad de Madrid,1174.570018137209
425159,Calle Sodio nº 1B,Embajadores 191,6,Estanque grande parque del Manzanares,CALLE EMBAJADORES 320,Monumentos de la ciudad de Madrid,1377.2875422774534
396493,Calle Camino de los Vinateros nº 108,Marroquina,10,Estanque jardines de Dionisio Ridruejo, ,Monumentos de la ciudad de Madrid,892.7914840610829
416204,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Estanque jardín Judío,JARDIN TRES CULTURAS ,Monumentos de la ciudad de Madrid,5559.887276029378
215503,Calle Juan Martín el Empecinado nº 16,Juan Martín,6,Estanque lineal en seis tramos del parque de las  Delicias,C Párroco Eusebio Cuenca ,Monumentos de la ciudad de Madrid,471.6958901931941
265682,Paseo de la Castellana esquina calle Raimundo Fernández Villaverde,Paseo de la Castellana con Raimundo Fernández,12,Estanque norte Nuevos Ministerios,PASEO CASTELLANA 67,Monumentos de la ciudad de Madrid,158.22348156778625
416209,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Estanque norte del parque Juan Carlos I,PARQUE JUAN CARLOS I 1,Monumentos de la ciudad de Madrid,4453.668958405209
405456,Calle Caramuel nº 51,Caramuel,14,Estanque norte del parque de Arias Navarro, ,Monumentos de la ciudad de Madrid,3959.3547226833384
403667,Paseo de la Ermita del Santo nº 48,Ermita Santo,13,Estanque oeste del parque de San Isidro,PARQUE SAN ISIDRO ,Monumentos de la ciudad de Madrid,738.4455737773101
303317,Calle Segovia nº 45,Segovia 45,11,Estanque para patos de los jardines del Campo del Moro, ,Monumentos de la ciudad de Madrid,496.7681116839462
335574,Calle Sancho Dávila esquina Paseo Marqués de Zafra,Quinta Fuente del Berro,9,Estanque para patos del parque Fuente del Berro, ,Monumentos de la ciudad de Madrid,236.15487948974365
416215,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Estanque parque Huerta de la Salud, ,Monumentos de la ciudad de Madrid,3479.9989720215785
416216,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Estanque paseo Central, ,Monumentos de la ciudad de Madrid,4511.367146909295
122329,Avenida de Menéndez Pelayo nº 63,Puerta del Doce de Octubre,9,Estanque pequeño de los jardines de Cecilio Rodríguez, ,Monumentos de la ciudad de Madrid,139.73663350328297
389338,Calle Gutierre de Cetina nº 77,Gutierre de Cetina,18,Estanque pequeño en la avenida Cantabria I,Avda Cantabria ,Monumentos de la ciudad de Madrid,7167.851707089218
416219,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Estanque plaza del Recibimiento, ,Monumentos de la ciudad de Madrid,4495.602060493815
389340,Calle Gutierre de Cetina nº 77,Gutierre de Cetina,18,Estanque poligonal del parque Marqués de Suances,Avda Veinticinco de Septiembre ,Monumentos de la ciudad de Madrid,2501.7495950461794
450272,Calle Serrano nº 113B,Serrano 113,16,Estanque rectangular C.S.I.C.,CALLE SERRANO 117,Monumentos de la ciudad de Madrid,214.58340220133252
240607,Calle Sor Ángela de la Cruz nº 2,Sor Ángela de la Cruz,13,Estanque rectangular Cuzco,PASEO CASTELLANA 167,Monumentos de la ciudad de Madrid,281.3516834161292
265698,Paseo de la Castellana esquina calle Raimundo Fernández Villaverde,Paseo de la Castellana con Raimundo Fernández,12,Estanque rectangular Nuevos Ministerios,PASEO CASTELLANA 67,Monumentos de la ciudad de Madrid,158.22348156778625
272867,Plaza de San Juan de la Cruz nº 11,Plaza de San Juan de la Cruz,11,Estanque rectangular Nuevos Ministerios,Pº Castellana 67,Monumentos de la ciudad de Madrid,160.44637749764408
301540,Calle Segovia nº 26,Segovia 26,8,Estanque rectangular Vistillas,Pza Gabriel Miró ,Monumentos de la ciudad de Madrid,206.69083098504933
389345,Calle Gutierre de Cetina nº 77,Gutierre de Cetina,18,Estanque rectangular en la avenida Cantabria,Avda Cantabria ,Monumentos de la ciudad de Madrid,7254.762382373853
122344,Avenida de Menéndez Pelayo nº 63,Puerta del Doce de Octubre,9,Estanque rústico y puente de los jardines de Cecilio Rodríguez, ,Monumentos de la ciudad de Madrid,173.8105380723095
385769,Calle Antonio López nº 129,Glorieta de Cádiz,7,Estanque semicircular y canal Pradolongo,PARQUE PRADOLONGO ,Monumentos de la ciudad de Madrid,990.3409175456692
405483,Calle Caramuel nº 51,Caramuel,14,Estanque sur Aluche, ,Monumentos de la ciudad de Madrid,4234.701820259898
416236,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Estanque sur del parque Juan Carlos I,PARQUE JUAN CARLOS I 1,Monumentos de la ciudad de Madrid,4453.668958405209
405485,Calle Caramuel nº 51,Caramuel,14,Estanque sur en la avenida de los Poblados,PARQUE CRUCES ,Monumentos de la ciudad de Madrid,4865.397054275897
457455,Avenida Pío XII nº 3,Pío XII,11,Estanque trapezoidal Costillares,C Serrano Galvache 4,Monumentos de la ciudad de Madrid,1451.2750853542072
240624,Calle Sor Ángela de la Cruz nº 2,Sor Ángela de la Cruz,13,Estanque triple Cuzco,PASEO CASTELLANA 137,Monumentos de la ciudad de Madrid,43.67038062034749
240626,Calle Sor Ángela de la Cruz nº 2,Sor Ángela de la Cruz,13,Estanque y cascada Cuzco,Pº Castellana 149,Monumentos de la ciudad de Madrid,137.3769981700766
391155,Plaza Puerta del Ángel nº 4,Puerta del Ángel,16,Estanque y fuente del Parque de Atracciones,PARQUE ATRACCIONES CASA CAMPO ,Monumentos de la ciudad de Madrid,2104.197624611858
150996,Avenida de Menéndez Pelayo esquina calle O'Donnell,Puerta de Madrid,10,Estanque óvalo del Retiro,Pº Panamá ,Monumentos de la ciudad de Madrid,271.0965785010792
391161,Plaza Puerta del Ángel nº 4,Puerta del Ángel,16,Estanques Puente de Segovia,Puente de Segovia ,Monumentos de la ciudad de Madrid,534.9373260685924
389364,Calle Gutierre de Cetina nº 77,Gutierre de Cetina,18,Estanques con dos fuentes en la Quinta de los Molinos,CALLE ALCALA 527,Monumentos de la ciudad de Madrid,1992.918864272834
389365,Calle Gutierre de Cetina nº 77,Gutierre de Cetina,18,Estanques del Parterre, ,Monumentos de la ciudad de Madrid,5824.370704104608
122358,Avenida de Menéndez Pelayo nº 63,Puerta del Doce de Octubre,9,Estanques en cascada de los jardines de Cecilio Rodríguez, ,Monumentos de la ciudad de Madrid,115.64439570066435
122359,Avenida de Menéndez Pelayo nº 63,Puerta del Doce de Octubre,9,Estanques gemelos de la antigua Casa de Fieras, ,Monumentos de la ciudad de Madrid,80.26307375468478
122360,Avenida de Menéndez Pelayo nº 63,Puerta del Doce de Octubre,9,Estanques largos de los jardines de Cecilio Rodríguez, ,Monumentos de la ciudad de Madrid,205.28263163903065
385786,Calle Antonio López nº 129,Glorieta de Cádiz,7,Estanques rectangulares Pradolongo, ,Monumentos de la ciudad de Madrid,2100.0787246453674
416251,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Estanques-graderíos,JARDIN TRES CULTURAS ,Monumentos de la ciudad de Madrid,5559.887276029378
448508,Paseo de la Castellana nº 298,Manuel Caldeiro,16,Estatua La Paz,Pº Castellana 261,Monumentos de la ciudad de Madrid,135.02686924817635
405501,Calle Caramuel nº 51,Caramuel,14,Estatua Virgen María,C Gómez de Arteche 30,Monumentos de la ciudad de Madrid,5481.48915808518
289022,Paseo de la Castellana nº 42,Castellana 42,8,Estela de Venus,Pº Castellana 41,Monumentos de la ciudad de Madrid,109.5134665260109
289023,Paseo de la Castellana nº 42,Castellana 42,8,Estructura permutacional,Pº Castellana 41,Monumentos de la ciudad de Madrid,93.77411718902016
285440,Paseo de la Castellana nº 43,Paseo de la Castellana - Glorieta de Emilio Castelar,4,Estructuración hiperpoliédrica del espacio,PASEO CASTELLANA 41,Monumentos de la ciudad de Madrid,70.70731322771955
405505,Calle Caramuel nº 51,Caramuel,14,Estudiante,CALLE NUESTRA SEÑORA DE LA LUZ 53,Monumentos de la ciudad de Madrid,3610.1240035655233
203013,Paseo de Moret nº 11,Paseo de Moret,13,Eugenio María de Hostos, ,Monumentos de la ciudad de Madrid,223.15106149684576
63235,Plaza del Cordón,Plaza del Cordón,18,Eugenio d'Ors,Pza Cordón 2,Monumentos de la ciudad de Madrid,10.91657093653154
203010,Paseo de Moret nº 11,Paseo de Moret,13,Eugenio de Santa Cruz y Espejo,PASEO CAMOENS Y VALERO 2,Monumentos de la ciudad de Madrid,269.7351011973994
48900,Calle Jesús nº 1,Huertas,10,Eugenio d´Ors Rovira,Pº Prado ,Monumentos de la ciudad de Madrid,247.75474942772803
65030,Plaza de Ramales,Plaza Ramales,8,Eurico,Pza Oriente ,Monumentos de la ciudad de Madrid,124.61981129829846
